test,status,setup_time,solve_time,run_time,obj,phi,iters
nb,QOCO_SOLVED,0.0165654,1.1356204,1.1521858,-0.050701124,1.04E-09,31
nb_L1,QOCO_MAX_ITER,0.0162314,8.8040343,Inf,-13.01175515,7.62E-06,Inf
nb_L2,QOCO_SOLVED,0.0275388,2.0013938,2.0289326,-1.628622223,3.84E-09,11
nb_L2_bessel,QOCO_SOLVED,0.0133988,1.1797555,1.1931543,-0.102567686,3.84E-13,14
nql180,QOCO_SOLVED,27.3170082,248.3840854,275.7010936,0.927918476,8.95E-09,53
nql180new,QOCO_MAX_ITER,12.1771858,202.6168828,Inf,-0.875161606,0.000134328,Inf
nql30,QOCO_SOLVED,0.0453541,1.0876042,1.1329583,0.946033254,7.82E-09,31
nql30new,QOCO_MAX_ITER,0.0213803,2.2620895,Inf,-0.94587163,2.35E-05,Inf
nql60,QOCO_SOLVED,0.4062305,6.0412682,6.4474987,0.93507706,4.26E-10,29
nql60new,QOCO_MAX_ITER,0.2938044,15.5345805,Inf,-0.934217237,2.07E-05,Inf
qssp180,QOCO_NUMERICAL_ERROR,46.9338925,2007.615122,Inf,NaN,NaN,Inf
qssp180new,QOCO_MAX_ITER,19.2265306,639.9917799,Inf,-6.016053056,0.683396018,Inf
qssp30,QOCO_SOLVED,0.096727,2.655277,2.752004,6.496678049,6.46E-10,26
qssp30new,QOCO_SOLVED,0.0441897,2.7014676,2.7456573,-6.496674397,9.90E-09,146
qssp60,QOCO_SOLVED,0.9247575,22.6372728,23.5620303,6.562709848,2.37E-10,36
qssp60new,QOCO_MAX_ITER,0.3669473,21.1801364,Inf,-6.562559534,3.79E-08,Inf
sched_100_100_orig,QOCO_NUMERICAL_ERROR,0.1932928,5.3700727,Inf,NaN,NaN,Inf
sched_100_100_scaled,QOCO_SOLVED,0.1973704,5.7600844,5.9574548,28.89747459,8.91E-09,188
sched_100_50_orig,QOCO_NUMERICAL_ERROR,0.0773808,0.9207701,Inf,NaN,NaN,Inf
sched_100_50_scaled,QOCO_SOLVED,0.0734418,0.8278994,0.9013412,67.16521432,8.41E-09,58
sched_200_100_orig,QOCO_NUMERICAL_ERROR,0.7138084,6.9123679,Inf,NaN,NaN,Inf
sched_200_100_scaled,QOCO_SOLVED,0.7223683,11.4747576,12.1971259,51.81266511,9.25E-09,128
sched_50_50_orig,QOCO_NUMERICAL_ERROR,0.0204335,0.6159941,Inf,NaN,NaN,Inf
sched_50_50_scaled,QOCO_SOLVED,0.0254407,0.2073288,0.2327695,7.852043799,1.75E-09,35
