test,status,setup_time,solve_time,run_time,obj,phi,iters,,3
lp_25fv47,QOCO_SOLVED,0.0052584,0.1584657,0.1637241,5502.167994,1.85E-09,48,,
lp_80bau3b,QOCO_SOLVED,0.0459898,0.5608848,0.6068746,988732.7512,8.65E-09,70,,
lp_adlittle,QOCO_SOLVED,0.0003437,0.0017421,0.0020858,225495.0596,7.50E-10,25,,
lp_afiro,QOCO_SOLVED,9.96E-05,0.0004022,0.0005018,-464.7517168,2.61E-12,11,,
lp_agg,QOCO_SOLVED,0.0014393,0.0143461,0.0157854,-35929656.23,4.11E-09,30,,
lp_agg2,QOCO_SOLVED,0.0018205,0.0487239,0.0505444,-20040311.4,4.76E-09,29,,
lp_agg3,QOCO_SOLVED,0.0019558,0.0565866,0.0585424,10538789.59,4.66E-09,29,,
lp_bandm,QOCO_SOLVED,0.001545,0.013551,0.015096,-158.627459,5.09E-11,31,,
lp_beaconfd,QOCO_SOLVED,0.0011773,0.0109268,0.0121041,33592.75477,3.83E-10,25,,
lp_blend,QOCO_SOLVED,0.0006055,0.002389,0.0029945,-30.81213441,3.12E-09,23,,
lp_bnl1,QOCO_SOLVED,0.0041004,0.0660037,0.0701041,1977.952597,6.16E-09,54,,
lp_bnl2,QOCO_SOLVED,0.0129667,0.4832597,0.4962264,1819.577571,5.94E-09,54,,
lp_boeing1,QOCO_SOLVED,0.0019927,0.0218018,0.0237945,-335.2132036,5.36E-09,37,,
lp_boeing2,QOCO_SOLVED,0.0009301,0.0055509,0.006481,-314.9798683,1.76E-09,26,,
lp_bore3d,QOCO_SOLVED,0.0010993,0.0101449,0.0112442,1373.081203,2.26E-09,30,,
lp_brandy,QOCO_SOLVED,0.0009417,0.0089003,0.009842,1518.511925,7.27E-10,30,,
lp_capri,QOCO_SOLVED,0.0016143,0.0145889,0.0162032,2690.017305,8.62E-10,36,,
lp_cycle,QOCO_SOLVED,0.0101647,0.3594565,0.3696212,-5.225238962,1.28E-09,53,,
lp_czprob,QOCO_SOLVED,0.0107039,0.0917363,0.1024402,2185232.201,1.52E-09,57,,
lp_d2q06c,QOCO_SOLVED,0.0191614,0.9524002,0.9715616,122802.125,5.40E-09,54,,
lp_d6cube,QOCO_SOLVED,0.0187005,0.6623648,0.6810653,315.5208137,5.97E-09,65,,
lp_degen2,QOCO_SOLVED,0.00266,0.0318008,0.0344608,-1435.172504,6.46E-09,24,,
lp_degen3,QOCO_SOLVED,0.0140406,0.3801547,0.3941953,-987.288194,6.31E-10,31,,
lp_dfl001,QOCO_SOLVED,0.0765598,96.3528842,96.429444,11538184.6,7.79E-09,73,,
lp_e226,QOCO_SOLVED,0.001394,0.0172627,0.0186567,-18.75161241,6.81E-10,31,,
lp_etamacro,QOCO_SOLVED,0.0020129,0.0518416,0.0538545,-754.4231718,5.75E-09,30,,
lp_fffff800,QOCO_SOLVED,0.0031731,0.0908916,0.0940647,555683.9867,1.45E-09,49,,
lp_finnis,QOCO_SOLVED,0.0027255,0.033695,0.0364205,172806.8739,2.50E-09,48,,
lp_fit1d,QOCO_SOLVED,0.0041091,0.0459988,0.0501079,-9146.375753,1.46E-10,34,,
lp_fit1p,QOCO_SOLVED,0.0082313,0.0321356,0.0403669,9146.389387,2.77E-09,27,,
lp_fit2d,QOCO_SOLVED,0.0556808,0.554887,0.6105678,-68464.26378,6.04E-09,45,,
lp_fit2p,QOCO_SOLVED,0.1051835,0.4675168,0.5727003,68468.16435,3.61E-10,49,,
lp_forplan,QOCO_SOLVED,0.0028531,0.0250839,0.027937,-663.7000152,2.99E-09,40,,
lp_ganges,QOCO_SOLVED,0.0049778,0.0518241,0.0568019,-109582.2939,6.83E-10,31,,
lp_gfrd_pnc,QOCO_SOLVED,0.0020178,0.0233715,0.0253893,6902344.346,6.49E-09,38,,
lp_greenbea,QOCO_SOLVED,0.0246159,1.1136903,1.1383062,-72462258.61,6.02E-09,56,,
lp_greenbeb,QOCO_SOLVED,0.0387203,1.2106439,1.2493642,-4302125.771,6.57E-09,63,,
lp_grow15,QOCO_MAX_ITER,0.0022491,0.2492193,Inf,-69183607.9,1.15E+17,200,,
lp_grow22,QOCO_MAX_ITER,0.0036674,0.4033784,Inf,125975719,3.33E+22,200,,
lp_grow7,QOCO_MAX_ITER,0.0010955,0.1286212,Inf,32815477.39,2.98E+18,200,,
lp_israel,QOCO_SOLVED,0.001516,0.0174303,0.0189463,-896483.7529,1.17E-09,40,,
lp_kb2,QOCO_SOLVED,0.000276,0.0049838,0.0052598,-1749.900128,5.26E-09,49,,
lp_lotfi,QOCO_SOLVED,0.0010994,0.0056943,0.0067937,-25.26446642,3.61E-09,24,,
lp_maros,QOCO_SOLVED,0.0065251,0.1756691,0.1821942,-58062.79185,3.48E-10,44,,
lp_maros_r7,QOCO_SOLVED,0.1504149,18.2647508,18.4151657,1497193.895,4.10E-10,52,,
lp_modszk1,QOCO_SOLVED,0.0030997,0.0246358,0.0277355,404.1525515,8.33E-10,32,,
lp_nesm,QOCO_SOLVED,0.008443,0.1429967,0.1514397,14076291.22,5.66E-09,43,,
lp_perold,QOCO_SOLVED,0.0042718,0.2159069,0.2201787,-9380.740212,4.26E-09,65,,
lp_pilot,QOCO_SOLVED,0.0273076,2.4745738,2.5018814,-556.8759528,9.62E-09,73,,
lp_pilot4,QOCO_SOLVED,0.0030797,0.052325,0.0554047,-2581.137933,3.45E-09,48,,
lp_pilot87,QOCO_SOLVED,0.0431904,11.1486202,11.1918106,304.0607351,9.31E-09,75,,
lp_pilot_ja,QOCO_SOLVED,0.0090613,0.3604368,0.3694981,-6113.106982,1.74E-09,55,,
lp_pilot_we,QOCO_SOLVED,0.006779,0.145088,0.151867,-2719944.015,1.71E-09,58,,
lp_pilotnov,QOCO_SOLVED,0.008555,0.2979186,0.3064736,-4497.263379,6.18E-09,45,,
lp_qap12,QOCO_SOLVED,0.062218,74.8662025,74.9284205,522.8976697,7.00E-09,54,,
lp_qap15,QOCO_SOLVED,0.1784625,1075.418869,1075.597331,1040.996639,6.49E-10,105,,
lp_qap8,QOCO_SOLVED,0.0051551,0.8860798,0.8912349,203.5000189,9.49E-14,26,,
lp_recipe,QOCO_SOLVED,0.0012248,0.0032246,0.0044494,-266.6159992,1.84E-13,20,,
