test,status,setup_time,solve_time,run_time,obj,phi,iters
nb,QOCO_SOLVED,0.0173959,0.9328564,0.9502523,-0.00050516111437271,4.06967455010844e-09,27
nb_L1,QOCO_MAX_ITER,0.014777,7.8621322,Inf,-0.129655564991435,0.00019486305137806,Inf
nb_L2,QOCO_SOLVED,0.0270902,1.5305731,1.5576633,-0.0307494120666371,8.43511316864305e-13,9
nb_L2_bessel,QOCO_SOLVED,0.0149932,0.7807621,0.7957553,-0.000843125551355145,7.1127881621403e-11,12
nql180,QOCO_NUMERICAL_ERROR,26.745083,324.4679681,Inf,NaN,NaN,Inf
nql180new,QOCO_MAX_ITER,16.1993302,219.6508329,Inf,-0.669673557687929,0.00333302040393258,Inf
nql30,QOCO_NUMERICAL_ERROR,0.0337876,0.9394514,Inf,NaN,NaN,Inf
nql30new,QOCO_MAX_ITER,0.0183514,1.750852,Inf,-0.704504697875564,4.38663359529968e-05,Inf
nql60,QOCO_NUMERICAL_ERROR,0.3023063,5.4436416,Inf,NaN,NaN,Inf
nql60new,QOCO_MAX_ITER,0.2390499,11.7960696,Inf,-0.696945064960119,0.000198158571695048,Inf
qssp180,QOCO_NUMERICAL_ERROR,48.1024274,3280.4737011,Inf,NaN,NaN,Inf
qssp180new,QOCO_MAX_ITER,20.1033004,521.5247361,Inf,-5.22773690002562,0.000102954945634052,Inf
qssp30,QOCO_SOLVED,0.0842431,2.1322406,2.2164837,4.28662502445039,7.42288088744297e-09,50
qssp30new,QOCO_MAX_ITER,0.0249921,2.0794072,Inf,-5.26122459549749,0.0015135135228922,Inf
qssp60,QOCO_NUMERICAL_ERROR,0.537109,35.4334646,Inf,NaN,NaN,Inf
qssp60new,QOCO_MAX_ITER,0.2671874,14.5926842,Inf,-5.2687696382604,0.00607902464634644,Inf
sched_100_100_orig,QOCO_NUMERICAL_ERROR,0.1525267,1.1312173,Inf,NaN,NaN,Inf
sched_100_100_scaled,QOCO_NUMERICAL_ERROR,0.1599817,0.7005468,Inf,0,NaN,Inf
sched_100_50_orig,QOCO_NUMERICAL_ERROR,0.0673348,0.6481087,Inf,NaN,NaN,Inf
sched_100_50_scaled,QOCO_NUMERICAL_ERROR,0.0525489,0.3605583,Inf,0,NaN,Inf
sched_200_100_orig,QOCO_NUMERICAL_ERROR,0.5453992,5.2030033,Inf,NaN,NaN,Inf
sched_200_100_scaled,QOCO_NUMERICAL_ERROR,0.6205529,1.2370763,Inf,NaN,NaN,Inf
sched_50_50_orig,QOCO_NUMERICAL_ERROR,0.0224832,0.2080635,Inf,NaN,NaN,Inf
sched_50_50_scaled,QOCO_SOLVED,0.0299166,0.1308618,0.1607784,0,1.01439570793868e-10,23
