test,status,setup_time,solve_time,run_time,obj,phi,iters
AUG2D,QOCO_SOLVED,0.013011,0.0272715,0.0402825,1677511.753,0,1
AUG2DC,QOCO_SOLVED,0.0121253,0.0313221,0.0434474,1808268.066,0,1
AUG2DCQP,QOCO_SOLVED,0.0134791,0.4544163,0.4678954,6488034.739,6.42E-10,24
AUG2DQP,QOCO_SOLVED,0.0131426,0.6286729,0.6418155,6227112.026,9.29E-09,37
AUG3D,QOCO_SOLVED,0.0022548,0.0055189,0.0077737,-782.4322742,0,1
AUG3DC,QOCO_SOLVED,0.001692,0.0063192,0.0080112,-1165.237561,0,1
AUG3DCQP,QOCO_SOLVED,0.0024026,0.1184595,0.1208621,-943.1378524,3.48E-09,36
AUG3DQP,QOCO_SOLVED,0.0034012,0.234385,0.2377862,-661.2623125,6.09E-09,63
CVXQP1_L,QOCO_MAX_ITER,0.0408327,637.8627053,Inf,104261145.8,6.63E-06,200
CVXQP1_M,QOCO_SOLVED,0.0021282,0.2017194,0.2038476,1087509.898,1.01E-09,31
CVXQP1_S,QOCO_SOLVED,0.000244,0.0014056,0.0016496,11590.71812,1.52E-12,16
CVXQP2_L,QOCO_SOLVED,0.0251694,238.7264648,238.7516342,81842458.26,2.69E-10,131
CVXQP2_M,QOCO_SOLVED,0.0017983,0.1756126,0.1774109,820155.431,2.15E-13,31
CVXQP2_S,QOCO_SOLVED,0.0002308,0.0013465,0.0015773,8120.940479,8.48E-15,15
CVXQP3_L,QOCO_MAX_ITER,0.0592684,724.9955164,Inf,108794392.5,7.69E-09,200
CVXQP3_M,QOCO_MAX_ITER,0.0026567,1.4762094,Inf,1350291.191,3.97E-11,200
CVXQP3_S,QOCO_SOLVED,0.0002525,0.0010832,0.0013357,11943.43234,5.24E-09,10
DTOC3,QOCO_SOLVED,0.004343,0.0112751,0.0156181,235.2625793,5.02E-14,3
DUAL1,QOCO_SOLVED,0.0002004,0.0041062,0.0043066,0.035013082,1.08E-09,16
DUAL2,QOCO_SOLVED,0.0002402,0.0052082,0.0054484,0.033733685,4.83E-10,15
DUAL3,QOCO_SOLVED,0.0002975,0.0072176,0.0075151,0.135756136,7.55E-09,15
DUAL4,QOCO_SOLVED,0.0002131,0.0026365,0.0028496,0.746091006,1.01E-09,13
DUALC1,QOCO_SOLVED,8.51E-05,0.0009702,0.0010553,6155.538935,2.30E-09,11
DUALC2,QOCO_SOLVED,0.0001093,0.0008758,0.0009851,3551.307711,3.21E-16,11
DUALC5,QOCO_SOLVED,0.0001283,0.0006765,0.0008048,427.2323926,2.07E-13,6
DUALC8,QOCO_SOLVED,0.0003085,0.0015883,0.0018968,18309.36389,1.99E-10,6
GENHS28,QOCO_SOLVED,3.64E-05,4.65E-05,8.29E-05,0.927173694,0,1
GOULDQP2,QOCO_SOLVED,0.0007382,0.0078295,0.0085677,0.000184539,3.00E-09,24
GOULDQP3,QOCO_SOLVED,0.0005736,0.0074185,0.0079921,-29647.83716,6.02E-09,22
HS118,QOCO_SOLVED,6.66E-05,0.0004906,0.0005572,664.8204505,1.81E-13,26
HS21,QOCO_SOLVED,1.67E-05,7.86E-05,9.53E-05,0.040000048,6.83E-12,8
HS268,QOCO_SOLVED,1.90E-05,4.74E-05,6.64E-05,-14462.13938,1.33E-09,2
HS35,QOCO_SOLVED,1.63E-05,5.92E-05,7.55E-05,-8.888888521,5.16E-13,5
HS35MOD,QOCO_SOLVED,1.67E-05,6.96E-05,8.63E-05,-8.749999994,1.70E-10,6
HS51,QOCO_SOLVED,1.52E-05,3.73E-05,5.25E-05,-6,0,1
HS52,QOCO_SOLVED,1.82E-05,5.25E-05,7.07E-05,-0.673352436,0,1
HS53,QOCO_SOLVED,3.15E-05,5.56E-05,8.71E-05,-1.906976744,3.01E-10,2
HS76,QOCO_SOLVED,1.74E-05,7.15E-05,8.89E-05,-4.681816046,5.47E-12,5
HUES-MOD,QOCO_SOLVED,0.0040541,0.1256298,0.1296839,48652356.51,8.39E-09,34
HUESTIS,QOCO_SOLVED,0.0044049,0.1132361,0.117641,3.42772E+11,2.72E-09,28
KSIP,QOCO_MAX_ITER,0.0008158,0.2131163,Inf,0.608004843,1.29E-06,200
LISWET1,QOCO_SOLVED,0.004003,0.0374706,0.0414736,-2500.392758,2.89E-11,14
LISWET10,QOCO_SOLVED,0.0045968,0.0371929,0.0417897,-2500.947085,5.10E-09,13
LISWET11,QOCO_SOLVED,0.0042353,0.0482286,0.0524639,-2500.746973,6.08E-09,17
LISWET12,QOCO_SOLVED,0.004031,0.2148447,0.2188757,-2500.690469,2.14E-09,57
LISWET2,QOCO_SOLVED,0.0039226,0.029843,0.0337656,-1666.991673,3.16E-10,11
LISWET3,QOCO_SOLVED,0.0043169,0.0302175,0.0345344,-1000.258424,3.42E-10,11
LISWET4,QOCO_SOLVED,0.005623,0.0297782,0.0354012,-714.5155507,3.20E-10,11
LISWET5,QOCO_SOLVED,0.0042311,0.0412321,0.0454632,-15976.16518,2.65E-10,14
LISWET6,QOCO_SOLVED,0.0039018,0.0422459,0.0461477,-2162.223848,5.36E-09,13
LISWET7,QOCO_SOLVED,0.0051312,0.0528809,0.0580121,-2500.257058,4.50E-10,16
LISWET8,QOCO_SOLVED,0.0039354,0.0991699,0.1031053,-2500.25704,1.87E-09,29
LISWET9,QOCO_SOLVED,0.0051713,0.1169562,0.1221275,-2500.256197,4.22E-09,35
LOTSCHD,QOCO_SOLVED,4.64E-05,0.0001367,0.0001831,2398.414854,2.87E-10,9
MOSARQP1,QOCO_SOLVED,0.0013711,0.0261034,0.0274745,-952.8754218,1.16E-09,21
MOSARQP2,QOCO_SOLVED,0.0009561,0.0239222,0.0248783,-1597.481953,8.40E-09,26
POWELL20,QOCO_MAX_ITER,0.0043596,0.7329081,Inf,45276485609,58063.65369,200
PRIMAL1,QOCO_SOLVED,0.001427,0.0131577,0.0145847,-0.035012907,5.95E-10,26
PRIMAL2,QOCO_SOLVED,0.003567,0.0149066,0.0184736,-0.033733584,1.13E-10,18
PRIMAL3,QOCO_SOLVED,0.0112235,0.0292089,0.0404324,-0.135755712,3.33E-09,19
PRIMAL4,QOCO_SOLVED,0.0094433,0.0193024,0.0287457,-0.746090815,7.47E-10,18
PRIMALC1,QOCO_SOLVED,0.0001301,0.0028823,0.0030124,-6155.250818,8.25E-18,19
PRIMALC2,QOCO_SOLVED,0.0001625,0.0026079,0.0027704,-3551.307291,5.89E-13,13
PRIMALC5,QOCO_SOLVED,0.0002131,0.001888,0.0021011,-427.23228,2.82E-14,7
