test,status,setup_time,solve_time,run_time,obj,phi,iters,,12
lp_25fv47,QOCO_SOLVED,0.0053225,0.1975686,0.2028911,5502.165975,1.84E-09,48,,
lp_80bau3b,QOCO_MAX_ITER,0.0635539,2.5150803,Inf,987622.2344,1.47E-08,200,,
lp_adlittle,QOCO_SOLVED,0.0004171,0.0025095,0.0029266,225494.8894,7.50E-10,25,,
lp_afiro,QOCO_SOLVED,0.0001089,0.0006828,0.0007917,-464.7521452,1.06E-12,11,,
lp_agg,QOCO_SOLVED,0.0014549,0.0173065,0.0187614,-35997731.93,2.71E-09,29,,
lp_agg2,QOCO_SOLVED,0.0020702,0.056987,0.0590572,-19288310.59,6.43E-09,28,,
lp_agg3,QOCO_SOLVED,0.0023616,0.0515542,0.0539158,10781115.43,6.07E-09,28,,
lp_bandm,QOCO_SOLVED,0.0012662,0.0158697,0.0171359,-158.6253812,5.35E-10,31,,
lp_beaconfd,QOCO_SOLVED,0.001113,0.0140698,0.0151828,33592.75076,4.06E-10,25,,
lp_blend,QOCO_SOLVED,0.0004491,0.0025331,0.0029822,-30.81213465,3.21E-09,23,,
lp_bnl1,QOCO_SOLVED,0.0055974,0.0661835,0.0717809,2011.389552,4.35E-09,42,,
lp_bnl2,QOCO_MAX_ITER,0.0151895,2.4011961,Inf,NaN,NaN,200,,
lp_boeing1,QOCO_SOLVED,0.0021309,0.0306889,0.0328198,-335.2134258,5.49E-09,37,,
lp_boeing2,QOCO_SOLVED,0.0009013,0.0066968,0.0075981,-312.0398886,4.34E-09,27,,
lp_bore3d,QOCO_SOLVED,0.0008547,0.010823,0.0116777,1373.081212,2.23E-09,30,,
lp_brandy,QOCO_SOLVED,0.0008706,0.0118945,0.0127651,1518.512022,9.09E-09,30,,
lp_capri,QOCO_SOLVED,0.0012676,0.023052,0.0243196,2688.051007,6.89E-09,35,,
lp_cycle,QOCO_MAX_ITER,0.0103473,1.8624178,Inf,NaN,NaN,200,,
lp_czprob,QOCO_SOLVED,0.0110031,0.1207749,0.131778,2185219.787,2.94E-09,55,,
lp_d2q06c,QOCO_SOLVED,0.0239695,1.1004048,1.1243743,122805.2922,5.40E-09,57,,
lp_d6cube,QOCO_MAX_ITER,0.0253602,3.2346642,Inf,NaN,NaN,200,,
lp_degen2,QOCO_SOLVED,0.0028316,0.0336382,0.0364698,-1435.172472,6.39E-09,24,,
lp_degen3,QOCO_SOLVED,0.0135402,0.4563957,0.4699359,-987.2923352,1.53E-09,33,,
lp_e226,QOCO_SOLVED,0.0017196,0.0136925,0.0154121,-18.74724875,1.15E-09,29,,
lp_etamacro,QOCO_SOLVED,0.0021662,0.0527151,0.0548813,-754.5784574,5.47E-09,30,,
lp_fffff800,QOCO_SOLVED,0.0032521,0.0885844,0.0918365,555681.5471,3.82E-09,49,,
lp_finnis,QOCO_SOLVED,0.0019302,0.0308682,0.0327984,172804.4778,2.42E-09,44,,
lp_fit1d,QOCO_SOLVED,0.0047773,0.0495456,0.0543229,-9146.377915,2.08E-10,35,,
lp_fit1p,QOCO_SOLVED,0.0074502,0.0338841,0.0413343,9146.44013,4.88E-09,24,,
lp_fit2d,QOCO_SOLVED,0.0504796,0.5673087,0.6177883,-68464.13955,3.40E-10,42,,
lp_fit2p,QOCO_SOLVED,0.0878465,0.4965528,0.5843993,68467.09491,2.40E-09,49,,
lp_forplan,QOCO_SOLVED,0.003297,0.0191712,0.0224682,-607.8583477,1.19E-09,36,,
lp_ganges,QOCO_SOLVED,0.0036178,0.0457526,0.0493704,-109585.1666,3.20E-09,31,,
lp_gfrd_pnc,QOCO_SOLVED,0.0017786,0.0233061,0.0250847,6902366.819,6.46E-09,38,,
lp_greenbea,QOCO_SOLVED,0.0247787,1.0324744,1.0572531,-72431257.39,2.30E-09,55,,
lp_greenbeb,QOCO_MAX_ITER,0.0219284,4.46541,Inf,NaN,NaN,200,,
lp_grow15,QOCO_MAX_ITER,0.0029178,0.4332264,Inf,NaN,NaN,200,,
lp_grow22,QOCO_MAX_ITER,0.0049677,0.6530271,Inf,NaN,NaN,200,,
lp_grow7,QOCO_MAX_ITER,0.0023121,0.2648805,Inf,NaN,NaN,200,,
lp_israel,QOCO_SOLVED,0.0018306,0.0238476,0.0256782,-896483.7362,1.17E-09,40,,
lp_kb2,QOCO_SOLVED,0.0002024,0.0068223,0.0070247,-1749.900121,8.96E-09,49,,
lp_lotfi,QOCO_SOLVED,0.0011111,0.0082923,0.0094034,-25.26455714,1.58E-09,24,,
lp_maros,QOCO_SOLVED,0.0081314,0.2163464,0.2244778,-58061.84163,2.32E-09,42,,
lp_maros_r7,QOCO_SOLVED,0.1820602,19.6072518,19.789312,1497185.239,1.14E-09,52,,
lp_modszk1,QOCO_SOLVED,0.002893,0.0261789,0.0290719,219.0511224,3.00E-09,30,,
lp_nesm,QOCO_SOLVED,0.0078689,0.1555183,0.1633872,14070553.7,8.86E-09,44,,
lp_perold,QOCO_SOLVED,0.005974,0.2182426,0.2242166,-9305.724969,5.72E-09,56,,
lp_pilot,QOCO_MAX_ITER,0.0300748,9.23431,Inf,-500.688783,2.74E-08,200,,
lp_pilot4,QOCO_SOLVED,0.0031437,0.065184,0.0683277,-2599.423179,9.32E-09,40,,
lp_pilot87,QOCO_MAX_ITER,0.0509027,36.8222795,Inf,346.0295588,8.93E-08,200,,
lp_pilot_ja,QOCO_SOLVED,0.0095414,0.4304939,0.4400353,-6116.120562,6.88E-09,53,,
lp_pilot_we,QOCO_SOLVED,0.0093419,0.177223,0.1865649,-2720024.621,2.29E-09,54,,
lp_pilotnov,QOCO_MAX_ITER,0.0114827,2.0948932,Inf,-4501.887247,6.16E-08,200,,
lp_qap8,QOCO_SOLVED,0.0064347,1.185171,1.1916057,203.5000153,2.95E-13,26,,
lp_recipe,QOCO_MAX_ITER,0.0005479,0.0956321,Inf,NaN,NaN,200,,
lp_sc105,QOCO_SOLVED,0.0008578,0.0025424,0.0034002,-52.20205341,1.55E-13,16,,
lp_sc205,QOCO_SOLVED,0.0007559,0.0057413,0.0064972,-52.20204488,2.75E-09,24,,
lp_sc50a,QOCO_SOLVED,0.0002888,0.002147,0.0024358,-64.57507507,1.00E-15,14,,
lp_sc50b,QOCO_SOLVED,0.0002828,0.0017805,0.0020633,-69.99995845,4.10E-14,12,,
lp_scagr25,QOCO_SOLVED,0.0018045,0.0184829,0.0202874,-14753419.62,3.52E-09,32,,
lp_scagr7,QOCO_SOLVED,0.000587,0.0042397,0.0048267,-2331409.767,7.90E-09,25,,
lp_scfxm1,QOCO_SOLVED,0.0022162,0.0335154,0.0357316,18416.83659,2.06E-09,37,,
lp_scfxm2,QOCO_SOLVED,0.0042884,0.0742993,0.0785877,36659.99859,8.49E-10,46,,
lp_scfxm3,QOCO_SOLVED,0.0060889,0.1147517,0.1208406,54901.56409,1.69E-09,45,,
lp_scorpion,QOCO_SOLVED,0.0016692,0.0152582,0.0169274,1878.125937,4.38E-09,23,,
lp_scrs8,QOCO_SOLVED,0.0027424,0.063695,0.0664374,904.3082163,8.47E-11,50,,
lp_scsd1,QOCO_SOLVED,0.0028651,0.0125504,0.0154155,8.666696321,6.01E-11,19,,
lp_scsd6,QOCO_SOLVED,0.0039831,0.026775,0.0307581,50.50000227,1.17E-09,23,,
lp_scsd8,QOCO_SOLVED,0.0102117,0.0397165,0.0499282,905.0005599,4.24E-13,19,,
lp_sctap1,QOCO_SOLVED,0.0017064,0.0216234,0.0233298,1412.250978,1.26E-10,32,,
lp_sctap2,QOCO_SOLVED,0.0081659,0.0753883,0.0835542,1724.809795,2.22E-09,31,,
lp_sctap3,QOCO_SOLVED,0.01147,0.0848024,0.0962724,1424.001624,1.60E-11,24,,
lp_seba,QOCO_SOLVED,0.0038074,0.0340998,0.0379072,15711.60299,5.75E-11,30,,
lp_share1b,QOCO_SOLVED,0.0019746,0.0159918,0.0179664,-76589.29309,6.76E-10,42,,
lp_share2b,QOCO_SOLVED,0.0016296,0.009527,0.0111566,-415.732269,5.09E-09,19,,
lp_shell,QOCO_SOLVED,0.0063302,0.078229,0.0845592,1208539834,8.96E-09,46,,
lp_ship04l,QOCO_SOLVED,0.0074829,0.0771954,0.0846783,1793329.295,9.07E-09,40,,
lp_ship04s,QOCO_SOLVED,0.0051382,0.0415328,0.046671,1798719.956,2.44E-11,27,,
lp_ship08l,QOCO_SOLVED,0.0288518,0.1200441,0.1488959,1909061.385,1.22E-09,31,,
lp_ship08s,QOCO_SOLVED,0.0090441,0.0868062,0.0958503,1920103.806,2.55E-09,39,,
lp_ship12l,QOCO_SOLVED,0.0287944,0.1991426,0.227937,1470290.345,8.47E-09,43,,
lp_ship12s,QOCO_SOLVED,0.0094101,0.0746748,0.0840849,1489237.391,1.15E-09,31,,
lp_sierra,QOCO_SOLVED,0.0110317,0.1042914,0.1153231,14764377.02,7.32E-09,32,,
lp_stair,QOCO_SOLVED,0.0025056,0.0479564,0.050462,-251.2802014,7.11E-09,35,,
lp_standata,QOCO_SOLVED,0.0038667,0.0438331,0.0476998,1258.581288,8.00E-09,40,,
lp_standgub,QOCO_SOLVED,0.0032759,0.0490447,0.0523206,1258.578281,8.03E-09,40,,
lp_standmps,QOCO_SOLVED,0.0040858,0.0692731,0.0733589,1406.309815,8.60E-09,51,,
lp_stocfor1,QOCO_SOLVED,0.0006326,0.0053178,0.0059504,-41131.97066,6.64E-13,19,,
lp_stocfor2,QOCO_SOLVED,0.0107192,0.1209817,0.1317009,-39023.99443,2.63E-10,38,,
lp_stocfor3,QOCO_SOLVED,0.3029369,1.4508974,1.7538343,-39975.36896,1.15E-09,60,,
lp_truss,QOCO_SOLVED,0.0423921,0.3065468,0.3489389,458815.85,1.14E-10,30,,
lp_tuff,QOCO_SOLVED,0.002374,0.0427808,0.0451548,0.293448108,3.71E-09,42,,
lp_vtp_base,QOCO_SOLVED,0.0017259,0.0078376,0.0095635,129831.647,5.21E-11,21,,
lp_wood1p,QOCO_SOLVED,0.0286754,0.6511369,0.6798123,1.442910044,5.81E-10,58,,
lp_woodw,QOCO_SOLVED,0.0546829,0.8285317,0.8832146,1.304680152,9.99E-09,80,,
