test,status,setup_time,solve_time,run_time,obj,phi,iters,,,18
lp_25fv47,QOCO_SOLVED,0.0075067,0.1971447,0.2046514,5502.167902,1.85E-09,48,,,
lp_80bau3b,QOCO_SOLVED,0.0578725,0.6516989,0.7095714,988743.0567,9.75E-09,70,,,
lp_adlittle,QOCO_SOLVED,0.0004029,0.0024393,0.0028422,225495.0579,7.50E-10,25,,,
lp_afiro,QOCO_SOLVED,0.0001042,0.000922,0.0010262,-464.7517666,2.37E-12,11,,,
lp_agg,QOCO_SOLVED,0.0013845,0.0191021,0.0204866,-35758186.12,3.06E-09,31,,,
lp_agg2,QOCO_SOLVED,0.0023924,0.0458137,0.0482061,-19252597.1,4.52E-09,28,,,
lp_agg3,QOCO_SOLVED,0.0023781,0.0566231,0.0590012,10905649.58,4.39E-09,28,,,
lp_bandm,QOCO_SOLVED,0.0017871,0.0334004,0.0351875,-158.6273934,5.08E-11,31,,,
lp_beaconfd,QOCO_SOLVED,0.00123,0.0103663,0.0115963,33592.75453,3.83E-10,26,,,
lp_blend,QOCO_MAX_ITER,0.000312,0.0368377,Inf,NaN,NaN,200,,,
lp_bnl1,QOCO_SOLVED,0.003263,0.0661609,0.0694239,2022.518165,9.83E-10,40,,,
lp_bnl2,QOCO_MAX_ITER,0.0158413,2.08416,Inf,1782.663878,0.000379933,200,,,
lp_boeing1,QOCO_SOLVED,0.0022647,0.0285368,0.0308015,-335.2132081,5.36E-09,37,,,
lp_boeing2,QOCO_SOLVED,0.0010997,0.0094307,0.0105304,-312.9149804,2.30E-09,29,,,
lp_bore3d,QOCO_SOLVED,0.0009834,0.009698,0.0106814,1373.081189,2.23E-09,30,,,
lp_brandy,QOCO_MAX_ITER,0.0010845,0.123882,Inf,NaN,NaN,200,,,
lp_capri,QOCO_SOLVED,0.0012687,0.0163908,0.0176595,2689.401996,1.79E-09,36,,,
lp_cycle,QOCO_MAX_ITER,0.0094744,1.8127896,Inf,NaN,NaN,200,,,
lp_czprob,QOCO_SOLVED,0.0108003,0.1040864,0.1148867,2185221.104,2.35E-09,55,,,
lp_d2q06c,QOCO_SOLVED,0.022856,1.1584267,1.1812827,122802.5374,5.39E-09,56,,,
lp_d6cube,QOCO_MAX_ITER,0.0246511,3.1830975,Inf,NaN,NaN,200,,,
lp_degen2,QOCO_SOLVED,0.0028917,0.0377407,0.0406324,-1435.172508,6.45E-09,24,,,
lp_degen3,QOCO_SOLVED,0.0138518,0.458263,0.4721148,-987.2907291,4.48E-09,33,,,
lp_e226,QOCO_SOLVED,0.001332,0.013689,0.015021,-18.75157048,7.49E-10,31,,,
lp_etamacro,QOCO_SOLVED,0.0021296,0.0427841,0.0449137,-754.4281632,5.76E-09,30,,,
lp_fffff800,QOCO_SOLVED,0.0028612,0.0801138,0.082975,555707.8984,1.55E-09,49,,,
lp_finnis,QOCO_SOLVED,0.0026402,0.0295586,0.0321988,172799.923,3.17E-09,44,,,
lp_fit1d,QOCO_SOLVED,0.0037113,0.0422399,0.0459512,-9146.377915,2.08E-10,35,,,
lp_fit1p,QOCO_SOLVED,0.0097038,0.0397206,0.0494244,9146.385217,5.07E-10,27,,,
