test,status,setup_time,solve_time,run_time,obj,phi,iters,,13
lp_25fv47,QOCO_SOLVED,0.0052934,0.188402,0.1936954,5502.165975,1.84E-09,48,,
lp_80bau3b,QOCO_MAX_ITER,0.0637413,3.3437007,Inf,987622.2344,1.47E-08,200,,
lp_adlittle,QOCO_SOLVED,0.0004667,0.0061932,0.0066599,225494.8894,7.50E-10,25,,
lp_afiro,QOCO_SOLVED,0.0001382,0.0013716,0.0015098,-464.7521452,1.06E-12,11,,
lp_agg,QOCO_SOLVED,0.0035194,0.0295832,0.0331026,-35997731.93,2.71E-09,29,,
lp_agg2,QOCO_SOLVED,0.0034166,0.0818398,0.0852564,-19288310.59,6.43E-09,28,,
lp_agg3,QOCO_SOLVED,0.002898,0.072169,0.075067,10781115.43,6.07E-09,28,,
lp_bandm,QOCO_SOLVED,0.001991,0.0229544,0.0249454,-158.6253812,5.35E-10,31,,
lp_beaconfd,QOCO_SOLVED,0.0015671,0.0146404,0.0162075,33592.75076,4.06E-10,25,,
lp_blend,QOCO_SOLVED,0.0004622,0.0039299,0.0043921,-30.81213465,3.21E-09,23,,
lp_bnl1,QOCO_SOLVED,0.0050458,0.0904892,0.095535,2011.389552,4.35E-09,42,,
lp_bnl2,QOCO_MAX_ITER,0.019471,3.6058098,Inf,NaN,NaN,200,,
lp_boeing1,QOCO_SOLVED,0.0031817,0.0416938,0.0448755,-335.2134258,5.49E-09,37,,
lp_boeing2,QOCO_SOLVED,0.0009665,0.0107043,0.0116708,-312.0398886,4.34E-09,27,,
lp_bore3d,QOCO_SOLVED,0.001173,0.0147497,0.0159227,1373.081212,2.23E-09,30,,
lp_brandy,QOCO_SOLVED,0.0012696,0.0155503,0.0168199,1518.512022,9.09E-09,30,,
lp_capri,QOCO_SOLVED,0.0014858,0.0315919,0.0330777,2688.051007,6.89E-09,35,,
lp_cycle,QOCO_MAX_ITER,0.0148601,2.5314419,Inf,NaN,NaN,200,,
lp_czprob,QOCO_SOLVED,0.0158645,0.1393877,0.1552522,2185219.787,2.94E-09,55,,
lp_d2q06c,QOCO_SOLVED,0.0312824,1.5003312,1.5316136,122805.2922,5.40E-09,57,,
lp_d6cube,QOCO_MAX_ITER,0.0277226,4.5696066,Inf,NaN,NaN,200,,
lp_degen2,QOCO_SOLVED,0.0035832,0.0419786,0.0455618,-1435.172472,6.39E-09,24,,
lp_degen3,QOCO_SOLVED,0.0222147,0.5832811,0.6054958,-987.2923352,1.53E-09,33,,
lp_dfl001,QOCO_SOLVED,0.109354,113.2287978,113.3381518,11591294.37,8.25E-09,73,,
lp_e226,QOCO_SOLVED,0.0013095,0.0179028,0.0192123,-18.74724875,1.15E-09,29,,
lp_etamacro,QOCO_SOLVED,0.0040168,0.0583971,0.0624139,-754.5784574,5.47E-09,30,,
lp_fffff800,QOCO_SOLVED,0.0042514,0.1214927,0.1257441,555681.5471,3.82E-09,49,,
lp_finnis,QOCO_SOLVED,0.0028208,0.0434459,0.0462667,172804.4778,2.42E-09,44,,
lp_fit1d,QOCO_SOLVED,0.0043584,0.0681105,0.0724689,-9146.377915,2.08E-10,35,,
lp_fit1p,QOCO_SOLVED,0.007581,0.0379759,0.0455569,9146.44013,4.88E-09,24,,
lp_fit2d,QOCO_SOLVED,0.1208121,0.7939353,0.9147474,-68464.13955,3.40E-10,42,,
lp_fit2p,QOCO_SOLVED,0.1302057,0.6305906,0.7607963,68467.09491,2.40E-09,49,,
lp_forplan,QOCO_SOLVED,0.0029522,0.030794,0.0337462,-607.8583477,1.19E-09,36,,
lp_ganges,QOCO_SOLVED,0.0046893,0.0702432,0.0749325,-109585.1666,3.20E-09,31,,
lp_gfrd_pnc,QOCO_SOLVED,0.0048202,0.0385949,0.0434151,6902366.819,6.46E-09,38,,
lp_greenbea,QOCO_SOLVED,0.0359855,1.3015494,1.3375349,-72431257.39,2.30E-09,55,,
lp_greenbeb,QOCO_MAX_ITER,0.031,5.2734188,Inf,NaN,NaN,200,,
lp_grow15,QOCO_MAX_ITER,0.0019877,0.4401256,Inf,NaN,NaN,200,,
lp_grow22,QOCO_MAX_ITER,0.0044942,0.7889632,Inf,NaN,NaN,200,,
lp_grow7,QOCO_MAX_ITER,0.0016982,0.2432032,Inf,NaN,NaN,200,,
lp_israel,QOCO_SOLVED,0.0015956,0.0231902,0.0247858,-896483.7362,1.17E-09,40,,
lp_kb2,QOCO_SOLVED,0.0002487,0.0073519,0.0076006,-1749.900121,8.96E-09,49,,
lp_lotfi,QOCO_SOLVED,0.0014703,0.0091866,0.0106569,-25.26455714,1.58E-09,24,,
lp_maros,QOCO_SOLVED,0.0063174,0.2291854,0.2355028,-58061.84163,2.32E-09,42,,
lp_maros_r7,QOCO_SOLVED,0.1869244,22.0079591,22.1948835,1497185.239,1.14E-09,52,,
lp_modszk1,QOCO_SOLVED,0.0040608,0.0334129,0.0374737,219.0511224,3.00E-09,30,,
lp_nesm,QOCO_SOLVED,0.0106698,0.1841727,0.1948425,14070553.7,8.86E-09,44,,
lp_perold,QOCO_SOLVED,0.005514,0.2343591,0.2398731,-9305.724969,5.72E-09,56,,
lp_pilot,QOCO_MAX_ITER,0.035489,8.9421846,Inf,-500.688783,2.74E-08,200,,
lp_pilot4,QOCO_SOLVED,0.0028395,0.0645129,0.0673524,-2599.423179,9.32E-09,40,,
lp_pilot87,QOCO_MAX_ITER,0.0544258,28.5201743,Inf,346.0295588,8.93E-08,200,,
lp_pilot_ja,QOCO_SOLVED,0.0072301,0.3547563,0.3619864,-6116.120562,6.88E-09,53,,
lp_pilot_we,QOCO_SOLVED,0.0067374,0.1341263,0.1408637,-2720024.621,2.29E-09,54,,
lp_pilotnov,QOCO_MAX_ITER,0.0102966,1.5538188,Inf,-4501.887247,6.16E-08,200,,
lp_qap12,QOCO_SOLVED,0.0458817,78.4326572,78.4785389,522.8981815,8.19E-09,52,,
lp_qap15,QOCO_MAX_ITER,0.2021785,2322.302598,Inf,NaN,NaN,200,,
lp_qap8,QOCO_SOLVED,0.006324,1.0388695,1.0451935,203.5000153,2.95E-13,26,,
lp_recipe,QOCO_MAX_ITER,0.0007319,0.0821462,Inf,NaN,NaN,200,,
lp_sc105,QOCO_SOLVED,0.0004996,0.0024112,0.0029108,-52.20205341,1.55E-13,16,,
lp_sc205,QOCO_SOLVED,0.0009349,0.0065277,0.0074626,-52.20204488,2.75E-09,24,,
lp_sc50a,QOCO_SOLVED,0.000247,0.0018268,0.0020738,-64.57507507,1.00E-15,14,,
lp_sc50b,QOCO_SOLVED,0.0001824,0.0010853,0.0012677,-69.99995845,4.10E-14,12,,
lp_scagr25,QOCO_SOLVED,0.0017633,0.0271286,0.0288919,-14753419.62,3.52E-09,32,,
lp_scagr7,QOCO_SOLVED,0.000833,0.005194,0.006027,-2331409.767,7.90E-09,25,,
lp_scfxm1,QOCO_SOLVED,0.0021743,0.0288646,0.0310389,18416.83659,2.06E-09,37,,
lp_scfxm2,QOCO_SOLVED,0.0043672,0.0736832,0.0780504,36659.99859,8.49E-10,46,,
lp_scfxm3,QOCO_SOLVED,0.0057404,0.1028048,0.1085452,54901.56409,1.69E-09,45,,
lp_scorpion,QOCO_SOLVED,0.0015542,0.0098862,0.0114404,1878.125937,4.38E-09,23,,
lp_scrs8,QOCO_SOLVED,0.003794,0.0531483,0.0569423,904.3082163,8.47E-11,50,,
lp_scsd1,QOCO_SOLVED,0.0023412,0.0101265,0.0124677,8.666696321,6.01E-11,19,,
lp_scsd6,QOCO_SOLVED,0.0049973,0.0274439,0.0324412,50.50000227,1.17E-09,23,,
lp_scsd8,QOCO_SOLVED,0.0075657,0.0340196,0.0415853,905.0005599,4.24E-13,19,,
lp_sctap1,QOCO_SOLVED,0.0020066,0.0196906,0.0216972,1412.250978,1.26E-10,32,,
lp_sctap2,QOCO_SOLVED,0.0067382,0.0759396,0.0826778,1724.809795,2.22E-09,31,,
lp_sctap3,QOCO_SOLVED,0.0099531,0.1009034,0.1108565,1424.001624,1.60E-11,24,,
lp_seba,QOCO_SOLVED,0.0045624,0.0367007,0.0412631,15711.60299,5.75E-11,30,,
lp_share1b,QOCO_SOLVED,0.0009555,0.0150892,0.0160447,-76589.29309,6.76E-10,42,,
lp_share2b,QOCO_SOLVED,0.0004879,0.0042047,0.0046926,-415.732269,5.09E-09,19,,
lp_shell,QOCO_SOLVED,0.0069294,0.0763595,0.0832889,1208539834,8.96E-09,46,,
lp_ship04l,QOCO_SOLVED,0.0080585,0.0790749,0.0871334,1793329.295,9.07E-09,40,,
lp_ship04s,QOCO_SOLVED,0.004973,0.0311436,0.0361166,1798719.956,2.44E-11,27,,
lp_ship08l,QOCO_SOLVED,0.0196769,0.1053757,0.1250526,1909061.385,1.22E-09,31,,
lp_ship08s,QOCO_SOLVED,0.0090823,0.0833786,0.0924609,1920103.806,2.55E-09,39,,
lp_ship12l,QOCO_SOLVED,0.0246913,0.1904271,0.2151184,1470290.345,8.47E-09,43,,
lp_ship12s,QOCO_SOLVED,0.008984,0.064365,0.073349,1489237.391,1.15E-09,31,,
lp_sierra,QOCO_SOLVED,0.01009,0.0965551,0.1066451,14764377.02,7.32E-09,32,,
lp_stair,QOCO_SOLVED,0.0020833,0.043015,0.0450983,-251.2802014,7.11E-09,35,,
lp_standata,QOCO_SOLVED,0.0027998,0.045902,0.0487018,1258.581288,8.00E-09,40,,
lp_standgub,QOCO_SOLVED,0.0054325,0.0482979,0.0537304,1258.578281,8.03E-09,40,,
lp_standmps,QOCO_SOLVED,0.0034442,0.0731596,0.0766038,1406.309815,8.60E-09,51,,
lp_stocfor1,QOCO_SOLVED,0.0004673,0.0032839,0.0037512,-41131.97066,6.64E-13,19,,
lp_stocfor2,QOCO_SOLVED,0.0100266,0.1162173,0.1262439,-39023.99443,2.63E-10,38,,
lp_stocfor3,QOCO_SOLVED,0.2849946,1.2361619,1.5211565,-39975.36896,1.15E-09,60,,
lp_truss,QOCO_SOLVED,0.0427376,0.3006948,0.3434324,458815.85,1.14E-10,30,,
