test,status,setup_time,solve_time,run_time,obj,phi,iters,,15
AUG2D,QOCO_SOLVED,0.0090178,0.0346944,0.0437122,1677511.753,0,1,,
AUG2DC,QOCO_SOLVED,0.0162128,0.040973,0.0571858,1808268.066,0,1,,
AUG2DCQP,QOCO_SOLVED,0.0218928,0.4785545,0.5004473,6488034.739,6.42E-10,24,,
AUG2DQP,QOCO_SOLVED,0.0128303,0.7385838,0.7514141,6227112.026,9.29E-09,37,,
AUG3D,QOCO_SOLVED,0.002862,0.0051626,0.0080246,-782.4322742,0,1,,
AUG3DC,QOCO_SOLVED,0.0019374,0.0055671,0.0075045,-1165.237561,0,1,,
AUG3DCQP,QOCO_SOLVED,0.0028112,0.1272316,0.1300428,-943.1378524,3.48E-09,36,,
AUG3DQP,QOCO_SOLVED,0.002975,0.2687136,0.2716886,-661.2623125,6.09E-09,63,,
CVXQP1_M,QOCO_SOLVED,0.0023438,0.2949246,0.2972684,1087511.568,5.77E-14,32,,
CVXQP1_S,QOCO_SOLVED,0.0002133,0.0019797,0.002193,11590.71828,8.55E-09,15,,
CVXQP2_M,QOCO_SOLVED,0.0022408,0.1625206,0.1647614,820155.4312,2.15E-13,31,,
CVXQP2_S,QOCO_SOLVED,0.0001959,0.0016924,0.0018883,8120.940479,8.49E-15,15,,
CVXQP3_M,QOCO_SOLVED,0.0031505,0.36296,0.3661105,1362826.29,1.36E-09,39,,
CVXQP3_S,QOCO_SOLVED,0.0002617,0.0017692,0.0020309,11943.4323,5.24E-09,10,,
DTOC3,QOCO_SOLVED,0.0060141,0.0177436,0.0237577,235.2625793,5.02E-14,3,,
DUAL1,QOCO_SOLVED,0.0002609,0.0061493,0.0064102,0.035013082,1.08E-09,16,,
DUAL2,QOCO_SOLVED,0.0002855,0.007304,0.0075895,0.033733685,4.83E-10,15,,
DUAL3,QOCO_SOLVED,0.0005065,0.0134962,0.0140027,0.135756136,7.55E-09,15,,
DUAL4,QOCO_SOLVED,0.000218,0.0063207,0.0065387,0.746091006,1.01E-09,13,,
DUALC1,QOCO_SOLVED,0.0001405,0.0020394,0.0021799,6155.567682,2.34E-09,12,,
DUALC2,QOCO_SOLVED,0.0001488,0.0017082,0.001857,3551.307711,3.21E-16,11,,
DUALC5,QOCO_SOLVED,0.0001566,0.0016381,0.0017947,427.2323926,2.07E-13,6,,
DUALC8,QOCO_SOLVED,0.0002493,0.0020583,0.0023076,18309.36389,1.99E-10,6,,
GENHS28,QOCO_SOLVED,3.26E-05,8.26E-05,0.0001152,0.927173694,0,1,,
GOULDQP2,QOCO_SOLVED,0.0012231,0.0127802,0.0140033,0.000184539,3.00E-09,24,,
GOULDQP3,QOCO_SOLVED,0.0006884,0.0149444,0.0156328,-29647.83716,6.02E-09,22,,
HS118,QOCO_SOLVED,0.0001023,0.001387,0.0014893,664.8204505,1.81E-13,26,,
HS21,QOCO_SOLVED,2.43E-05,0.0003076,0.0003319,0.040000048,6.83E-12,8,,
HS268,QOCO_SOLVED,2.85E-05,0.0001227,0.0001512,-14462.13938,1.33E-09,2,,
HS35,QOCO_SOLVED,2.86E-05,0.000206,0.0002346,-8.888888521,5.16E-13,5,,
HS35MOD,QOCO_SOLVED,2.87E-05,0.0003784,0.0004071,-8.749999995,1.70E-10,6,,
HS51,QOCO_SOLVED,2.34E-05,0.0001092,0.0001326,-6,0,1,,
HS52,QOCO_SOLVED,2.37E-05,0.0001086,0.0001323,-0.673352436,0,1,,
HS53,QOCO_SOLVED,3.85E-05,0.0001918,0.0002303,-1.906976744,3.01E-10,2,,
HS76,QOCO_SOLVED,2.71E-05,0.0002245,0.0002516,-4.681816046,5.47E-12,5,,
HUES-MOD,QOCO_SOLVED,0.0049462,0.1907486,0.1956948,337076103.2,7.88E-09,31,,
HUESTIS,QOCO_SOLVED,0.0055569,0.1831672,0.1887241,3.48466E+11,7.37E-10,28,,
KSIP,QOCO_MAX_ITER,0.0013053,0.4420059,Inf,0.608004971,1.29E-06,200,,
LISWET1,QOCO_SOLVED,0.0071116,0.0826581,0.0897697,-2500.401341,8.79E-11,14,,
LISWET10,QOCO_SOLVED,0.0066563,0.083213,0.0898693,-2500.94644,4.78E-09,13,,
LISWET11,QOCO_SOLVED,0.0064347,0.0770907,0.0835254,-2500.748459,4.78E-09,13,,
LISWET12,QOCO_SOLVED,0.0063753,0.0719757,0.078351,-2500.74635,6.82E-09,13,,
LISWET2,QOCO_SOLVED,0.0062584,0.0602979,0.0665563,-1666.990794,8.07E-11,11,,
LISWET3,QOCO_SOLVED,0.0064443,0.0599027,0.066347,-1000.257513,8.35E-11,11,,
LISWET4,QOCO_SOLVED,0.0055724,0.0528092,0.0583816,-714.5146286,8.44E-11,11,,
LISWET5,QOCO_SOLVED,0.0088457,0.0778492,0.0866949,-15976.16247,2.13E-10,14,,
LISWET6,QOCO_SOLVED,0.0080545,0.0747981,0.0828526,-2162.223166,4.84E-09,13,,
LISWET7,QOCO_SOLVED,0.0061429,0.1005898,0.1067327,-2500.256738,1.64E-10,16,,
LISWET8,QOCO_SOLVED,0.0065,0.0935973,0.1000973,-2500.256647,3.42E-10,16,,
LISWET9,QOCO_SOLVED,0.0071576,0.0995477,0.1067053,-2500.256679,3.12E-09,17,,
LOTSCHD,QOCO_SOLVED,6.64E-05,0.0004153,0.0004817,2398.414852,2.87E-10,9,,
MOSARQP1,QOCO_SOLVED,0.0022176,0.0456445,0.0478621,-952.8754218,1.16E-09,21,,
MOSARQP2,QOCO_SOLVED,0.0013762,0.0409224,0.0422986,-1597.481953,8.40E-09,26,,
POWELL20,QOCO_MAX_ITER,0.005651,1.3249558,Inf,45276512094,58064.59874,200,,
PRIMAL1,QOCO_SOLVED,0.0019775,0.0224279,0.0244054,-0.035012907,5.95E-10,26,,
PRIMAL2,QOCO_SOLVED,0.0032103,0.0190278,0.0222381,-0.033733584,1.13E-10,18,,
PRIMAL3,QOCO_SOLVED,0.0127285,0.0468008,0.0595293,-0.135755712,3.33E-09,19,,
PRIMAL4,QOCO_SOLVED,0.0120352,0.0329049,0.0449401,-0.746090815,7.47E-10,18,,
PRIMALC1,QOCO_SOLVED,0.0001818,0.005141,0.0053228,-6155.250818,8.25E-18,19,,
PRIMALC2,QOCO_SOLVED,0.0001644,0.0062003,0.0063647,-3551.307291,5.89E-13,13,,
PRIMALC5,QOCO_SOLVED,0.0002369,0.0020511,0.002288,-427.23228,2.82E-14,7,,
PRIMALC8,QOCO_SOLVED,0.0003414,0.0066466,0.006988,-18309.4295,3.24E-13,12,,
Q25FV47,QOCO_SOLVED,0.0853311,1.2234773,1.3088084,13744402.79,8.88E-09,64,,
QADLITTL,QOCO_SOLVED,0.00029,0.0023918,0.0026818,480319.9974,7.96E-09,23,,
QAFIRO,QOCO_SOLVED,0.0001139,0.0006436,0.0007575,-1.590767866,1.66E-14,12,,
QBANDM,QOCO_SOLVED,0.0013022,0.019821,0.0211232,16352.34258,2.84E-09,36,,
QBEACONF,QOCO_MAX_ITER,0.0011731,0.1545038,Inf,NaN,NaN,200,,
QBORE3D,QOCO_SOLVED,0.001248,0.0117025,0.0129505,3100.201078,3.67E-09,30,,
QBRANDY,QOCO_SOLVED,0.0008513,0.0178252,0.0186765,28375.12122,2.08E-09,26,,
QCAPRI,QOCO_MAX_ITER,0.0017699,0.1881268,Inf,58560999.49,1.85E-07,200,,
QE226,QOCO_SOLVED,0.0010315,0.023535,0.0245665,205.5404427,1.01E-09,27,,
QETAMACR,QOCO_SOLVED,0.0028903,0.2441562,0.2470465,86760.3727,1.03E-10,31,,
QFFFFF80,QOCO_SOLVED,0.0031812,0.1242107,0.1273919,873342.3563,4.91E-09,43,,
QFORPLAN,QOCO_SOLVED,0.0023082,0.0761798,0.078488,7456575206,9.32E-10,77,,
QGFRDXPN,QOCO_SOLVED,0.0018104,0.0321687,0.0339791,1.00791E+11,1.32E-09,30,,
QGROW15,QOCO_MAX_ITER,0.0022407,0.4755676,Inf,NaN,NaN,200,,
QGROW22,QOCO_MAX_ITER,0.0030012,0.7048077,Inf,NaN,NaN,200,,
QGROW7,QOCO_MAX_ITER,0.0014853,0.253438,Inf,NaN,NaN,200,,
QISRAEL,QOCO_MAX_ITER,0.0011134,0.158364,Inf,NaN,NaN,200,,
QPCBLEND,QOCO_SOLVED,0.0002316,0.0026771,0.0029087,-0.007837818,5.41E-09,20,,
QPCBOEI1,QOCO_SOLVED,0.0023699,0.0428809,0.0452508,11503914.03,3.24E-12,34,,
QPCBOEI2,QOCO_SOLVED,0.000495,0.0120781,0.0125731,8171962.233,4.78E-15,32,,
QPCSTAIR,QOCO_SOLVED,0.0012479,0.2055631,0.206811,6203892.801,3.58E-09,124,,
QPILOTNO,QOCO_MAX_ITER,0.0100915,1.9475051,Inf,NaN,NaN,200,,
QRECIPE,QOCO_MAX_ITER,0.0005839,0.0904474,Inf,NaN,NaN,200,,
QSC205,QOCO_SOLVED,0.0005946,0.0024603,0.0030549,-0.005813579,1.62E-10,12,,
QSCAGR25,QOCO_SOLVED,0.0010134,0.0138752,0.0148886,201737941.5,1.05E-10,33,,
QSCAGR7,QOCO_SOLVED,0.0006554,0.0092202,0.0098756,26865951.85,6.09E-09,30,,
QSCFXM1,QOCO_SOLVED,0.001187,0.0469506,0.0481376,16882650.76,1.20E-09,57,,
QSCFXM2,QOCO_SOLVED,0.0031072,0.1179494,0.1210566,27775366.42,9.33E-10,67,,
QSCFXM3,QOCO_SOLVED,0.0048592,0.1665187,0.1713779,30815541.03,1.33E-09,65,,
