test,status,setup_time,solve_time,run_time,obj,phi,iters,,21
AUG2D,QOCO_SOLVED,0.0097495,0.0260247,0.0357742,1677511.753,0,1,,
AUG2DC,QOCO_SOLVED,0.0086577,0.027528,0.0361857,1808268.066,0,1,,
AUG2DCQP,QOCO_SOLVED,0.0136949,0.4465388,0.4602337,6488034.739,6.42E-10,24,,
AUG2DQP,QOCO_SOLVED,0.012709,0.6668016,0.6795106,6227112.026,9.29E-09,37,,
AUG3D,QOCO_SOLVED,0.0022878,0.0045307,0.0068185,-782.4322742,0,1,,
AUG3DC,QOCO_SOLVED,0.0017978,0.005008,0.0068058,-1165.237561,0,1,,
AUG3DCQP,QOCO_SOLVED,0.0027195,0.1254371,0.1281566,-943.1378524,3.48E-09,36,,
AUG3DQP,QOCO_SOLVED,0.003277,0.2233049,0.2265819,-661.2623125,6.09E-09,63,,
CVXQP1_M,QOCO_SOLVED,0.002168,0.2405293,0.2426973,1087511.567,2.27E-14,32,,
CVXQP1_S,QOCO_SOLVED,0.0001935,0.0020216,0.0022151,11590.71828,8.53E-09,15,,
CVXQP2_M,QOCO_SOLVED,0.0016948,0.1639942,0.165689,820155.431,2.15E-13,31,,
CVXQP2_S,QOCO_SOLVED,0.0001699,0.0017368,0.0019067,8120.940479,8.48E-15,15,,
CVXQP3_M,QOCO_SOLVED,0.0028066,0.3344132,0.3372198,1362828.724,1.21E-09,40,,
CVXQP3_S,QOCO_SOLVED,0.0002152,0.0015617,0.0017769,11943.43233,5.24E-09,10,,
DTOC3,QOCO_SOLVED,0.0050816,0.0131399,0.0182215,235.2625793,5.02E-14,3,,
DUAL1,QOCO_SOLVED,0.0001913,0.0048175,0.0050088,0.035013082,1.08E-09,16,,
DUAL2,QOCO_SOLVED,0.0002885,0.0063212,0.0066097,0.033733685,4.83E-10,15,,
DUAL3,QOCO_SOLVED,0.0003368,0.0090025,0.0093393,0.135756136,7.55E-09,15,,
DUAL4,QOCO_SOLVED,0.0001775,0.004052,0.0042295,0.746091006,1.01E-09,13,,
DUALC1,QOCO_SOLVED,9.89E-05,0.0015337,0.0016326,6155.281684,8.86E-11,12,,
DUALC2,QOCO_SOLVED,0.0001012,0.0014857,0.0015869,3551.307711,3.39E-16,11,,
DUALC5,QOCO_SOLVED,0.0001243,0.0009997,0.001124,427.2323926,2.07E-13,6,,
DUALC8,QOCO_SOLVED,0.0002433,0.0016655,0.0019088,18309.36389,1.99E-10,6,,
GENHS28,QOCO_SOLVED,2.09E-05,6.84E-05,8.93E-05,0.927173694,0,1,,
GOULDQP2,QOCO_SOLVED,0.0013228,0.0130664,0.0143892,0.000184539,3.00E-09,24,,
GOULDQP3,QOCO_SOLVED,0.0007162,0.0095748,0.010291,-29647.83716,6.02E-09,22,,
HS118,QOCO_SOLVED,4.99E-05,0.0010734,0.0011233,664.8204505,1.81E-13,26,,
HS21,QOCO_SOLVED,2.58E-05,0.0004423,0.0004681,0.040000048,6.83E-12,8,,
HS268,QOCO_SOLVED,2.61E-05,0.0001667,0.0001928,-14462.13938,1.33E-09,2,,
HS35,QOCO_SOLVED,1.50E-05,0.0001824,0.0001974,-8.888888521,5.16E-13,5,,
HS35MOD,QOCO_SOLVED,1.49E-05,0.0002113,0.0002262,-8.749999995,1.70E-10,6,,
HS51,QOCO_SOLVED,1.97E-05,6.53E-05,8.50E-05,-6,0,1,,
HS52,QOCO_SOLVED,1.46E-05,6.55E-05,8.01E-05,-0.673352436,0,1,,
HS53,QOCO_SOLVED,3.29E-05,0.0001563,0.0001892,-1.906976744,3.01E-10,2,,
HS76,QOCO_SOLVED,1.88E-05,0.0001857,0.0002045,-4.681816046,5.47E-12,5,,
HUES-MOD,QOCO_SOLVED,0.0050775,0.1184999,0.1235774,103249014.7,1.67E-09,26,,
HUESTIS,QOCO_SOLVED,0.0031007,0.1492141,0.1523148,3.48271E+11,1.23E-10,32,,
KSIP,QOCO_MAX_ITER,0.001096,0.2952133,Inf,0.608004971,1.29E-06,200,,
LISWET1,QOCO_SOLVED,0.0050497,0.0589302,0.0639799,-2500.399465,6.38E-11,13,,
LISWET10,QOCO_SOLVED,0.0069302,0.0580074,0.0649376,-2500.946941,5.07E-09,13,,
LISWET11,QOCO_SOLVED,0.0134907,0.0849077,0.0983984,-2500.748678,4.82E-09,13,,
LISWET12,QOCO_SOLVED,0.0051168,0.1198031,0.1249199,-2500.743992,2.06E-09,25,,
