test,status,setup_time,solve_time,run_time,obj,phi,iters,,,27
AUG2D,QOCO_SOLVED,0.0090906,0.033419,0.0425096,1677511.753,0,1,,,
AUG2DC,QOCO_SOLVED,0.0076203,0.0294966,0.0371169,1808268.066,0,1,,,
AUG2DCQP,QOCO_SOLVED,0.0125586,0.5029368,0.5154954,6488034.739,6.42E-10,24,,,
AUG2DQP,QOCO_SOLVED,0.0130505,0.7041401,0.7171906,6227112.026,9.29E-09,37,,,
AUG3D,QOCO_SOLVED,0.0023449,0.0049921,0.007337,-782.4322742,0,1,,,
AUG3DC,QOCO_SOLVED,0.0019417,0.0049696,0.0069113,-1165.237561,0,1,,,
AUG3DCQP,QOCO_SOLVED,0.0032856,0.1698155,0.1731011,-943.1378524,3.48E-09,36,,,
AUG3DQP,QOCO_SOLVED,0.004708,0.3091274,0.3138354,-661.2623125,6.09E-09,63,,,
CVXQP1_M,QOCO_SOLVED,0.0027781,0.3448017,0.3475798,1087511.567,2.25E-14,32,,,
CVXQP1_S,QOCO_SOLVED,0.00027,0.0026284,0.0028984,11590.71828,8.53E-09,15,,,
CVXQP2_M,QOCO_SOLVED,0.0019891,0.2158245,0.2178136,820155.431,2.15E-13,31,,,
CVXQP2_S,QOCO_SOLVED,0.0002015,0.0022935,0.002495,8120.940479,8.48E-15,15,,,
CVXQP3_M,QOCO_SOLVED,0.0033076,0.4391748,0.4424824,1362828.741,6.17E-10,39,,,
CVXQP3_S,QOCO_SOLVED,0.0003322,0.0022854,0.0026176,11943.43232,5.24E-09,10,,,
DTOC3,QOCO_SOLVED,0.0051773,0.0169402,0.0221175,235.2625793,5.02E-14,3,,,
DUAL1,QOCO_SOLVED,0.0002183,0.0064201,0.0066384,0.035013082,1.08E-09,16,,,
DUAL2,QOCO_SOLVED,0.0002583,0.0094128,0.0096711,0.033733685,4.83E-10,15,,,
DUAL3,QOCO_SOLVED,0.0004831,0.0132124,0.0136955,0.135756136,7.55E-09,15,,,
DUAL4,QOCO_SOLVED,0.0002845,0.0058315,0.006116,0.746091006,1.01E-09,13,,,
DUALC1,QOCO_MAX_ITER,0.0001771,0.0894197,Inf,NaN,NaN,200,,,
DUALC2,QOCO_SOLVED,0.000169,0.0018304,0.0019994,3551.307709,2.58E-16,11,,,
DUALC5,QOCO_SOLVED,0.0002423,0.0019754,0.0022177,427.2323926,2.07E-13,6,,,
DUALC8,QOCO_SOLVED,0.0002859,0.0021072,0.0023931,18309.36389,1.99E-10,6,,,
GENHS28,QOCO_SOLVED,3.03E-05,8.32E-05,0.0001135,0.927173694,0,1,,,
GOULDQP2,QOCO_SOLVED,0.0016309,0.0171259,0.0187568,0.000184539,3.00E-09,24,,,
GOULDQP3,QOCO_SOLVED,0.0010134,0.019065,0.0200784,-29647.83716,6.02E-09,22,,,
HS118,QOCO_SOLVED,0.0001137,0.0024797,0.0025934,664.8204505,1.81E-13,26,,,
HS21,QOCO_SOLVED,2.14E-05,0.0003341,0.0003555,0.040000048,6.83E-12,8,,,
HS268,QOCO_SOLVED,4.00E-05,0.0002014,0.0002414,-14462.13938,1.33E-09,2,,,
HS35,QOCO_SOLVED,3.56E-05,0.0002307,0.0002663,-8.888888521,5.16E-13,5,,,
HS35MOD,QOCO_SOLVED,3.64E-05,0.000278,0.0003144,-8.749999994,1.70E-10,6,,,
HS51,QOCO_SOLVED,2.93E-05,0.0001383,0.0001676,-6,0,1,,,
HS52,QOCO_SOLVED,1.88E-05,8.59E-05,0.0001047,-0.673352436,0,1,,,
HS53,QOCO_SOLVED,4.18E-05,0.0002184,0.0002602,-1.906976744,3.01E-10,2,,,
HS76,QOCO_SOLVED,3.70E-05,0.0004298,0.0004668,-4.681816046,5.47E-12,5,,,
HUES-MOD,QOCO_SOLVED,0.006504,0.2624219,0.2689259,66611336.2,6.99E-09,31,,,
HUESTIS,QOCO_SOLVED,0.0051615,0.2569248,0.2620863,3.48256E+11,1.04E-10,32,,,
KSIP,QOCO_MAX_ITER,0.0011603,0.5045951,Inf,0.608004971,1.29E-06,200,,,
LISWET1,QOCO_SOLVED,0.0054998,0.0850492,0.090549,-2500.397968,2.41E-09,13,,,
LISWET10,QOCO_SOLVED,0.0070176,0.0826242,0.0896418,-2500.947082,5.10E-09,13,,,
LISWET11,QOCO_SOLVED,0.0056552,0.0991111,0.1047663,-2500.748075,6.14E-09,17,,,
LISWET12,QOCO_SOLVED,0.0060516,0.1463064,0.152358,-2500.735506,1.91E-09,25,,,
LISWET2,QOCO_SOLVED,0.0078349,0.0654605,0.0732954,-1666.991547,2.68E-10,11,,,
LISWET3,QOCO_SOLVED,0.0047003,0.0615867,0.066287,-1000.258295,2.87E-10,11,,,
LISWET4,QOCO_SOLVED,0.0048611,0.0625664,0.0674275,-714.515422,2.71E-10,11,,,
LISWET5,QOCO_SOLVED,0.0050344,0.082108,0.0871424,-15976.16507,2.49E-10,14,,,
LISWET6,QOCO_SOLVED,0.0063598,0.0769642,0.083324,-2162.223842,5.35E-09,13,,,
LISWET7,QOCO_SOLVED,0.0045122,0.1185409,0.1230531,-2500.257045,4.30E-10,16,,,
LISWET8,QOCO_SOLVED,0.0049706,0.1215835,0.1265541,-2500.256891,1.94E-10,17,,,
LISWET9,QOCO_SOLVED,0.007004,0.2029666,0.2099706,-2500.254468,3.37E-09,31,,,
LOTSCHD,QOCO_SOLVED,6.96E-05,0.0004284,0.000498,2398.414854,2.87E-10,9,,,
MOSARQP1,QOCO_SOLVED,0.0020907,0.044001,0.0460917,-952.8754218,1.16E-09,21,,,
MOSARQP2,QOCO_SOLVED,0.001211,0.0443663,0.0455773,-1597.481953,8.40E-09,26,,,
POWELL20,QOCO_MAX_ITER,0.0062796,1.300815,Inf,45276512094,58064.59874,200,,,
PRIMAL1,QOCO_SOLVED,0.0016378,0.0196125,0.0212503,-0.035012907,5.95E-10,26,,,
PRIMAL2,QOCO_SOLVED,0.003699,0.0236635,0.0273625,-0.033733584,1.13E-10,18,,,
PRIMAL3,QOCO_SOLVED,0.0133159,0.0486947,0.0620106,-0.135755712,3.33E-09,19,,,
PRIMAL4,QOCO_SOLVED,0.01413,0.0373567,0.0514867,-0.746090815,7.47E-10,18,,,
PRIMALC1,QOCO_SOLVED,0.0001369,0.0059267,0.0060636,-6155.250818,8.37E-18,19,,,
PRIMALC2,QOCO_SOLVED,0.000183,0.0029025,0.0030855,-3551.307277,6.20E-13,13,,,
PRIMALC5,QOCO_SOLVED,0.0001548,0.0020531,0.0022079,-427.23228,2.82E-14,7,,,
PRIMALC8,QOCO_SOLVED,0.0002563,0.0072626,0.0075189,-18309.42958,6.37E-13,13,,,
Q25FV47,QOCO_MAX_ITER,0.0808198,4.5701154,Inf,NaN,NaN,200,,,
QADLITTL,QOCO_SOLVED,0.0002798,0.002436,0.0027158,480319.9983,7.96E-09,23,,,
QAFIRO,QOCO_SOLVED,0.0001077,0.0006356,0.0007433,-1.590767826,1.64E-14,12,,,
QBANDM,QOCO_MAX_ITER,0.0013068,0.1899823,Inf,NaN,NaN,200,,,
QBEACONF,QOCO_MAX_ITER,0.0011347,0.1731305,Inf,NaN,NaN,200,,,
QBORE3D,QOCO_MAX_ITER,0.0007799,0.1291401,Inf,NaN,NaN,200,,,
QBRANDY,QOCO_MAX_ITER,0.0010505,0.1709506,Inf,NaN,NaN,200,,,
