test,status,setup_time,solve_time,run_time,obj,phi,iters,,21
AUG2D,QOCO_SOLVED,0.0163182,0.0312535,0.0475717,1677511.753,0,1,,
AUG2DC,QOCO_SOLVED,0.0119984,0.0337497,0.0457481,1808268.066,0,1,,
AUG2DCQP,QOCO_SOLVED,0.0236383,0.5055996,0.5292379,6488034.739,6.42E-10,24,,
AUG2DQP,QOCO_SOLVED,0.0155916,0.6944068,0.7099984,6227112.026,9.29E-09,37,,
AUG3D,QOCO_SOLVED,0.0024873,0.0047097,0.007197,-782.4322742,0,1,,
AUG3DC,QOCO_SOLVED,0.0019813,0.0051853,0.0071666,-1165.237561,0,1,,
AUG3DCQP,QOCO_SOLVED,0.0031412,0.1311569,0.1342981,-943.1378524,3.48E-09,36,,
AUG3DQP,QOCO_SOLVED,0.0030843,0.2835372,0.2866215,-661.2623125,6.09E-09,63,,
CVXQP1_L,QOCO_SOLVED,0.0426179,379.6291075,379.6717254,108704799.9,9.01E-12,95,,
CVXQP1_M,QOCO_SOLVED,0.0024972,0.2826397,0.2851369,1087511.567,2.33E-14,32,,
CVXQP1_S,QOCO_SOLVED,0.000272,0.0032923,0.0035643,11590.71828,8.53E-09,15,,
CVXQP2_L,QOCO_SOLVED,0.0329518,275.813181,275.8461328,81842458.26,2.72E-10,131,,
CVXQP2_M,QOCO_SOLVED,0.0021068,0.1597983,0.1619051,820155.431,2.15E-13,31,,
CVXQP2_S,QOCO_SOLVED,0.0001908,0.0016905,0.0018813,8120.940479,8.48E-15,15,,
CVXQP3_L,QOCO_SOLVED,0.0598891,675.0274917,675.0873808,115711104.5,1.57E-11,152,,
CVXQP3_M,QOCO_SOLVED,0.0040224,0.439109,0.4431314,1362828.65,2.96E-09,38,,
CVXQP3_S,QOCO_SOLVED,0.0003355,0.0027112,0.0030467,11943.43233,5.24E-09,10,,
DTOC3,QOCO_SOLVED,0.0065456,0.0193536,0.0258992,235.2625793,5.02E-14,3,,
DUAL1,QOCO_SOLVED,0.0003435,0.0073387,0.0076822,0.035013082,1.08E-09,16,,
DUAL2,QOCO_SOLVED,0.0004296,0.0086196,0.0090492,0.033733685,4.83E-10,15,,
DUAL3,QOCO_SOLVED,0.0004043,0.0129773,0.0133816,0.135756136,7.55E-09,15,,
DUAL4,QOCO_SOLVED,0.0003155,0.0078368,0.0081523,0.746091006,1.01E-09,13,,
DUALC1,QOCO_SOLVED,0.0001275,0.0022194,0.0023469,6155.281684,8.86E-11,12,,
DUALC2,QOCO_SOLVED,0.0002008,0.0025037,0.0027045,3551.307711,3.39E-16,11,,
DUALC5,QOCO_SOLVED,0.0002642,0.0017419,0.0020061,427.2323926,2.07E-13,6,,
DUALC8,QOCO_SOLVED,0.0002885,0.0021577,0.0024462,18309.36389,1.99E-10,6,,
GENHS28,QOCO_SOLVED,3.39E-05,7.74E-05,0.0001113,0.927173694,0,1,,
GOULDQP2,QOCO_SOLVED,0.0011818,0.016776,0.0179578,0.000184539,3.00E-09,24,,
GOULDQP3,QOCO_SOLVED,0.0011135,0.0179756,0.0190891,-29647.83716,6.02E-09,22,,
HS118,QOCO_SOLVED,6.09E-05,0.0013045,0.0013654,664.8204505,1.81E-13,26,,
HS21,QOCO_SOLVED,1.63E-05,0.0003333,0.0003496,0.040000048,6.83E-12,8,,
HS268,QOCO_SOLVED,3.40E-05,0.0001786,0.0002126,-14462.13938,1.33E-09,2,,
HS35,QOCO_SOLVED,2.96E-05,0.0003543,0.0003839,-8.888888521,5.16E-13,5,,
HS35MOD,QOCO_SOLVED,2.59E-05,0.0004056,0.0004315,-8.749999995,1.70E-10,6,,
HS51,QOCO_SOLVED,3.68E-05,0.0001147,0.0001515,-6,0,1,,
HS52,QOCO_SOLVED,2.92E-05,0.0001205,0.0001497,-0.673352436,0,1,,
HS53,QOCO_SOLVED,4.44E-05,0.0001897,0.0002341,-1.906976744,3.01E-10,2,,
HS76,QOCO_SOLVED,2.37E-05,0.0002206,0.0002443,-4.681816046,5.47E-12,5,,
HUES-MOD,QOCO_SOLVED,0.0060441,0.17692,0.1829641,121012763.3,7.92E-09,25,,
HUESTIS,QOCO_SOLVED,0.0058159,0.2230482,0.2288641,3.48284E+11,1.50E-10,32,,
KSIP,QOCO_MAX_ITER,0.0018854,0.4833047,Inf,0.608004971,1.29E-06,200,,
LISWET1,QOCO_SOLVED,0.0096586,0.0830091,0.0926677,-2500.399761,1.08E-10,13,,
LISWET10,QOCO_SOLVED,0.008935,0.0830655,0.0920005,-2500.946835,5.02E-09,13,,
LISWET11,QOCO_SOLVED,0.0090518,0.0821574,0.0912092,-2500.748673,4.82E-09,13,,
LISWET12,QOCO_SOLVED,0.0102762,0.1745082,0.1847844,-2500.744983,2.34E-09,26,,
LISWET2,QOCO_SOLVED,0.0099762,0.0709684,0.0809446,-1666.991119,1.33E-10,11,,
LISWET3,QOCO_SOLVED,0.0091127,0.0688703,0.077983,-1000.257854,1.39E-10,11,,
LISWET4,QOCO_SOLVED,0.0066432,0.0712144,0.0778576,-714.5149771,1.36E-10,11,,
LISWET5,QOCO_SOLVED,0.0082758,0.0868315,0.0951073,-15976.16451,1.85E-10,14,,
LISWET6,QOCO_SOLVED,0.0060282,0.0829391,0.0889673,-2162.223568,5.16E-09,13,,
LISWET7,QOCO_SOLVED,0.0089854,0.1034481,0.1124335,-2500.256925,2.81E-10,16,,
LISWET8,QOCO_SOLVED,0.0078044,0.0914321,0.0992365,-2500.256836,4.43E-10,16,,
LISWET9,QOCO_SOLVED,0.0068474,0.168829,0.1756764,-2500.256889,3.86E-09,28,,
LOTSCHD,QOCO_SOLVED,7.02E-05,0.0004174,0.0004876,2398.414854,2.87E-10,9,,
MOSARQP1,QOCO_SOLVED,0.0023064,0.0491312,0.0514376,-952.8754218,1.16E-09,21,,
MOSARQP2,QOCO_SOLVED,0.0015993,0.0465145,0.0481138,-1597.481953,8.40E-09,26,,
POWELL20,QOCO_MAX_ITER,0.0057271,1.4537927,Inf,45276512094,58064.59874,200,,
PRIMAL1,QOCO_SOLVED,0.001833,0.0265989,0.0284319,-0.035012907,5.95E-10,26,,
PRIMAL2,QOCO_SOLVED,0.0038022,0.0206658,0.024468,-0.033733584,1.13E-10,18,,
PRIMAL3,QOCO_SOLVED,0.0190369,0.0648656,0.0839025,-0.135755712,3.33E-09,19,,
PRIMAL4,QOCO_SOLVED,0.0181626,0.0469689,0.0651315,-0.746090815,7.47E-10,18,,
PRIMALC1,QOCO_SOLVED,0.0002325,0.0057013,0.0059338,-6155.250818,8.25E-18,19,,
PRIMALC2,QOCO_SOLVED,0.0002034,0.0041348,0.0043382,-3551.307291,5.88E-13,13,,
PRIMALC5,QOCO_SOLVED,0.0004083,0.0031616,0.0035699,-427.23228,2.82E-14,7,,
PRIMALC8,QOCO_SOLVED,0.0006619,0.0116836,0.0123455,-18309.42952,1.96E-13,14,,
Q25FV47,QOCO_MAX_ITER,0.2253327,4.9763106,Inf,NaN,NaN,200,,
QADLITTL,QOCO_SOLVED,0.0004664,0.0026203,0.0030867,480319.9984,7.96E-09,23,,
QAFIRO,QOCO_SOLVED,9.83E-05,0.0006318,0.0007301,-1.590767787,1.64E-14,12,,
QBANDM,QOCO_SOLVED,0.0010692,0.0229115,0.0239807,16352.34296,2.48E-09,36,,
QBEACONF,QOCO_MAX_ITER,0.0008352,0.1919313,Inf,NaN,NaN,200,,
QBORE3D,QOCO_SOLVED,0.000955,0.014974,0.015929,3100.201323,1.86E-09,31,,
QBRANDY,QOCO_MAX_ITER,0.0007173,0.1798222,Inf,NaN,NaN,200,,
QCAPRI,QOCO_MAX_ITER,0.0014155,0.2043303,Inf,58470283.1,1.77E-07,200,,
QE226,QOCO_SOLVED,0.0011184,0.0190523,0.0201707,205.5404419,1.01E-09,27,,
QETAMACR,QOCO_MAX_ITER,0.0034452,1.9797109,Inf,NaN,NaN,200,,
QFFFFF80,QOCO_SOLVED,0.0028197,0.1379056,0.1407253,873351.5421,1.35E-09,42,,
QFORPLAN,QOCO_SOLVED,0.0024334,0.0693837,0.0718171,7456631351,7.22E-10,58,,
QGFRDXPN,QOCO_SOLVED,0.0255979,0.0400881,0.065686,1.00791E+11,1.32E-09,30,,
QGROW15,QOCO_MAX_ITER,0.0018761,0.5554338,Inf,NaN,NaN,200,,
QGROW22,QOCO_MAX_ITER,0.0039613,0.782169,Inf,NaN,NaN,200,,
QGROW7,QOCO_MAX_ITER,0.0011601,0.2883284,Inf,NaN,NaN,200,,
QISRAEL,QOCO_MAX_ITER,0.0011658,0.1778727,Inf,NaN,NaN,200,,
QPCBLEND,QOCO_SOLVED,0.0003119,0.0037531,0.004065,-0.007841485,5.55E-09,20,,
QPCBOEI1,QOCO_SOLVED,0.0020143,0.0411693,0.0431836,11503914.01,2.14E-11,33,,
QPCBOEI2,QOCO_SOLVED,0.0004578,0.0164655,0.0169233,8171962.245,4.72E-15,32,,
QPCSTAIR,QOCO_SOLVED,0.0016832,0.1914576,0.1931408,6204391.746,2.68E-11,131,,
QPILOTNO,QOCO_MAX_ITER,0.0093428,2.3817544,Inf,NaN,NaN,200,,
QRECIPE,QOCO_MAX_ITER,0.0003004,0.0904491,Inf,NaN,NaN,200,,
QSC205,QOCO_SOLVED,0.0005345,0.0026654,0.0031999,-0.005813579,1.62E-10,12,,
